Constituency,ID,Percentage_Can,Percentage_Cant,Num_Can,Num_Can't,Total_Population,Percentage_WI,Percentage_WBI,Percentage_BI
Isle of Anglesey,1,66.1,33.9,35128,17986,53114,23.3,7,69.6
Gwynedd,2,76.7,23.3,68937,20946,89883,19.6,5.6,74.8
Conwy,3,33.5,66.5,26861,53257,80118,34.1,7.9,57.9
Denbighshire,4,28.9,71.1,19417,47867,67284,30.6,8.4,61.1
Flintshire,5,14.8,85.2,14781,85194,99975,38.9,9.1,52
Wrexham,6,14.4,85.6,14474,86092,100566,24.6,10.4,65
Ceredigion,7,57.5,42.5,29247,21586,50833,30,6.4,63.5
Pembrokeshire,8,19.8,80.2,19165,77862,97027,25.9,9.2,64.8
Carmarthenshire,9,45.6,54.4,69635,82914,152549,17.5,8.5,74.1
Swansea,10,12.5,87.5,24397,170235,194632,20.3,11,68.7
Neath Port Talbot,11,14.4,85.6,17935,106194,124129,14.2,9.9,75.9
Bridgend,12,9.8,90.2,12347,113395,125742,16.8,10.6,72.6
Vale of Glamorgan,13,12.5,87.5,13769,96357,110126,24.6,11.1,64.3
Cardiff,14,14.4,85.6,38954,231111,270065,28.3,11.1,60.6
Rhondda Cynon Taf,15,13.1,86.9,27537,182104,209641,12.7,10.8,76.5
Caerphilly,16,10.9,89.1,17141,139760,156901,14.6,10.3,75.1
Blaenau Gwent,17,6.5,93.5,3833,55141,58974,15,10.4,74.6
Torfaen,18,8.7,91.3,6969,72841,79810,18.2,11.3,70.5
Monmouthshire,19,9.9,90.1,6899,62204,69103,35.5,9.8,54.7
Newport,20,8.3,91.7,10469,115752,126221,26.6,11.4,62
Powys,21,20.5,79.5,19182,74405,93587,34.1,8.1,57.9
Merthyr Tydfil,22,9.3,90.7,4782,46591,51373,12.1,10.2,77.7
